"periods","param_value","pm_start_date","metric","source","param_name","hd_summary","impt_type","df_type","nrows"
"B",46.9360165391201,"09/01/2021","mean","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_abs",NA
"C",46.2700252807905,"09/01/2021","mean","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_abs",NA
"D",19.1314878608959,"09/01/2021","mean","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","cases_reached_from_exposure_mean",NA,"outer_abs","outer_abs",NA
"BC",48,"09/01/2021","med","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","cases_reached_from_test_med",NA,"original","original",NA
"BCD",72,"09/01/2021","med","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","contacts_reached_from_test_med",NA,"original","original",NA
"ABC",164,"09/01/2021","mean","Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.%%%Philadelphia%%%manual","cases_reached_from_exposure_mean",NA,"original","original",NA
"BC",48,"03/01/2020","med","Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.%%%Salt Lake City%%%manual","cases_reached_from_test_med","no","overlap_remove","removed_overlap",NA
"A",48,"03/01/2020","med","Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.%%%Salt Lake City%%%manual","cases_test_from_sympt_med","no","overlap_remove","removed_overlap",NA
"D",48,"03/01/2020","med","Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.%%%Salt Lake City%%%manual","contacts_reached_from_named_med","no","overlap_remove","removed_overlap",NA
"A",48,"03/01/2020","med","Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.%%%Salt Lake City%%%manual","cases_test_from_sympt_med","no","reported","inner",NA
"D",48,"03/01/2020","med","Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.%%%Salt Lake City%%%manual","contacts_reached_from_named_med","no","reported","inner",NA
"B",24.1714887778498,"03/01/2020","med","Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.%%%Salt Lake City%%%manual","cases_reached_from_test_med","no","inner","inner",NA
"C",23.8285112221502,"03/01/2020","med","Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.%%%Salt Lake City%%%manual","cases_reached_from_test_med","no","inner","inner",NA
"A",48,"03/01/2020","med","Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.%%%Salt Lake City%%%manual","cases_test_from_sympt_med",NA,"reported","outer_perc",NA
"B",24.1714887778498,"03/01/2020","med","Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.%%%Salt Lake City%%%manual","cases_reached_from_test_med",NA,"inner","outer_perc",NA
"C",23.8285112221502,"03/01/2020","med","Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.%%%Salt Lake City%%%manual","cases_reached_from_test_med",NA,"inner","outer_perc",NA
"D",48,"03/01/2020","med","Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.%%%Salt Lake City%%%manual","contacts_reached_from_named_med",NA,"reported","outer_perc",NA
"A",48,"03/01/2020","med","Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.%%%Salt Lake City%%%manual","cases_test_from_sympt_med","no","reported","outer_abs",NA
"D",48,"03/01/2020","med","Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.%%%Salt Lake City%%%manual","contacts_reached_from_named_med","no","reported","outer_abs",NA
"B",24.1714887778498,"03/01/2020","med","Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.%%%Salt Lake City%%%manual","cases_reached_from_test_med","no","inner","outer_abs",NA
"C",23.8285112221502,"03/01/2020","med","Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.%%%Salt Lake City%%%manual","cases_reached_from_test_med","no","inner","outer_abs",NA
"BC",48,"03/01/2020","med","Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.%%%Salt Lake City%%%manual","cases_reached_from_test_med",NA,"original","original",1
"ABCD",96,"03/01/2020","med","Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.%%%Salt Lake City%%%manual","contacts_reached_from_symptom_med",NA,"original","original",2
"B",48,"12/23/2020","med","A Web-Based Digital Contact Tracing Strategy Addresses Stigma Concerns Among Individuals Evaluated for COVID-19.%%%United States%%%manual","cases_positive_from_test_med",NA,"overlap_remove","removed_overlap",NA
"C",48,"12/23/2020","med","A Web-Based Digital Contact Tracing Strategy Addresses Stigma Concerns Among Individuals Evaluated for COVID-19.%%%United States%%%manual","cases_reached_from_positive_med",NA,"overlap_remove","removed_overlap",NA
"B",48,"12/23/2020","med","A Web-Based Digital Contact Tracing Strategy Addresses Stigma Concerns Among Individuals Evaluated for COVID-19.%%%United States%%%manual","cases_positive_from_test_med",NA,"reported","inner",NA
"C",48,"12/23/2020","med","A Web-Based Digital Contact Tracing Strategy Addresses Stigma Concerns Among Individuals Evaluated for COVID-19.%%%United States%%%manual","cases_reached_from_positive_med",NA,"reported","inner",NA
"A",72.9160884057279,"12/23/2020","med","A Web-Based Digital Contact Tracing Strategy Addresses Stigma Concerns Among Individuals Evaluated for COVID-19.%%%United States%%%manual","cases_positive_from_test_med",NA,"outer_perc","outer_perc",NA
"B",48,"12/23/2020","med","A Web-Based Digital Contact Tracing Strategy Addresses Stigma Concerns Among Individuals Evaluated for COVID-19.%%%United States%%%manual","cases_positive_from_test_med",NA,"reported","outer_perc",NA
"C",48,"12/23/2020","med","A Web-Based Digital Contact Tracing Strategy Addresses Stigma Concerns Among Individuals Evaluated for COVID-19.%%%United States%%%manual","cases_reached_from_positive_med",NA,"reported","outer_perc",NA
"D",20.814488215484,"12/23/2020","med","A Web-Based Digital Contact Tracing Strategy Addresses Stigma Concerns Among Individuals Evaluated for COVID-19.%%%United States%%%manual","cases_reached_from_positive_med",NA,"outer_perc","outer_perc",NA
"B",48,"12/23/2020","med","A Web-Based Digital Contact Tracing Strategy Addresses Stigma Concerns Among Individuals Evaluated for COVID-19.%%%United States%%%manual","cases_positive_from_test_med",NA,"reported","outer_abs",NA
"C",48,"12/23/2020","med","A Web-Based Digital Contact Tracing Strategy Addresses Stigma Concerns Among Individuals Evaluated for COVID-19.%%%United States%%%manual","cases_reached_from_positive_med",NA,"reported","outer_abs",NA
"A",67.0203007518797,"12/23/2020","med","A Web-Based Digital Contact Tracing Strategy Addresses Stigma Concerns Among Individuals Evaluated for COVID-19.%%%United States%%%manual","cases_reached_from_positive_med",NA,"outer_abs","outer_abs",NA
"D",19.1314878608959,"12/23/2020","med","A Web-Based Digital Contact Tracing Strategy Addresses Stigma Concerns Among Individuals Evaluated for COVID-19.%%%United States%%%manual","cases_reached_from_positive_med",NA,"outer_abs","outer_abs",NA
"B",48,"12/23/2020","med","A Web-Based Digital Contact Tracing Strategy Addresses Stigma Concerns Among Individuals Evaluated for COVID-19.%%%United States%%%manual","cases_positive_from_test_med",NA,"original","original",NA
"C",48,"12/23/2020","med","A Web-Based Digital Contact Tracing Strategy Addresses Stigma Concerns Among Individuals Evaluated for COVID-19.%%%United States%%%manual","cases_reached_from_positive_med",NA,"original","original",NA
"BC",81.6,"07/01/2020","mean","A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.%%%King County%%%manual","cases_reached_from_test_mean","no","overlap_remove","removed_overlap",NA
"A",64.8,"07/01/2020","mean","A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.%%%King County%%%manual","cases_test_from_sympt_mean","no","overlap_remove","removed_overlap",NA
"A",64.8,"07/01/2020","mean","A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.%%%King County%%%manual","cases_test_from_sympt_mean","no","reported","inner",NA
"B",41.0915309223446,"07/01/2020","mean","A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.%%%King County%%%manual","cases_reached_from_test_mean","no","inner","inner",NA
"C",40.5084690776554,"07/01/2020","mean","A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.%%%King County%%%manual","cases_reached_from_test_mean","no","inner","inner",NA
"A",64.8,"07/01/2020","mean","A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.%%%King County%%%manual","cases_test_from_sympt_mean",NA,"reported","outer_perc",NA
"B",41.0915309223446,"07/01/2020","mean","A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.%%%King County%%%manual","cases_reached_from_test_mean",NA,"inner","outer_perc",NA
"C",40.5084690776554,"07/01/2020","mean","A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.%%%King County%%%manual","cases_reached_from_test_mean",NA,"inner","outer_perc",NA
"D",18.0399694517406,"07/01/2020","mean","A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.%%%King County%%%manual","cases_reached_from_test_mean",NA,"outer_perc","outer_perc",NA
"A",64.8,"07/01/2020","mean","A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.%%%King County%%%manual","cases_test_from_sympt_mean","no","reported","outer_abs",NA
"B",41.0915309223446,"07/01/2020","mean","A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.%%%King County%%%manual","cases_reached_from_test_mean","no","inner","outer_abs",NA
"C",40.5084690776554,"07/01/2020","mean","A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.%%%King County%%%manual","cases_reached_from_test_mean","no","inner","outer_abs",NA
"D",19.1314878608959,"07/01/2020","mean","A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.%%%King County%%%manual","cases_reached_from_test_mean","no","outer_abs","outer_abs",NA
"BC",81.6,"07/01/2020","mean","A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.%%%King County%%%manual","cases_reached_from_test_mean",NA,"original","original",NA
"ABC",146.4,"07/01/2020","mean","A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.%%%King County%%%manual","cases_reached_from_symptom_mean",NA,"original","original",NA
"D",48,"03/11/2020","med","Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.%%%DE%%%manual","contacts_reached_from_named_med",NA,"overlap_remove","removed_overlap",NA
"C",192,"03/11/2020","med","Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.%%%DE%%%manual","cases_reached_from_positive_med",NA,"overlap_remove","removed_overlap",NA
"D",48,"03/11/2020","med","Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.%%%DE%%%manual","contacts_reached_from_named_med",NA,"reported","inner",NA
"C",192,"03/11/2020","med","Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.%%%DE%%%manual","cases_reached_from_positive_med",NA,"reported","inner",NA
"A",255.578722431386,"03/11/2020","med","Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.%%%DE%%%manual","cases_reached_from_positive_med",NA,"outer_perc","outer_perc",NA
"B",169.447329284387,"03/11/2020","med","Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.%%%DE%%%manual","cases_reached_from_positive_med",NA,"outer_perc","outer_perc",NA
"C",192,"03/11/2020","med","Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.%%%DE%%%manual","cases_reached_from_positive_med",NA,"reported","outer_perc",NA
"D",48,"03/11/2020","med","Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.%%%DE%%%manual","contacts_reached_from_named_med",NA,"reported","outer_perc",NA
"D",48,"03/11/2020","med","Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.%%%DE%%%manual","contacts_reached_from_named_med",NA,"reported","outer_abs",NA
"C",192,"03/11/2020","med","Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.%%%DE%%%manual","cases_reached_from_positive_med",NA,"reported","outer_abs",NA
"A",67.0203007518797,"03/11/2020","med","Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.%%%DE%%%manual","cases_reached_from_positive_med",NA,"outer_abs","outer_abs",NA
"B",44.4341017992654,"03/11/2020","med","Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.%%%DE%%%manual","cases_reached_from_positive_med",NA,"outer_abs","outer_abs",NA
"D",48,"03/11/2020","med","Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.%%%DE%%%manual","contacts_reached_from_named_med",NA,"original","original",NA
"C",192,"03/11/2020","med","Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.%%%DE%%%manual","cases_reached_from_positive_med",NA,"original","original",NA
"ABCD",127.2,"11/15/2020","mean","Trading-off privacy and utility: the Washington State experience assessing the performance of a public health digital exposure notification system for  coronavirus disease 2019.%%%WA%%%digital","contacts_reached_from_exposure_mean",NA,"overlap_remove","removed_overlap",NA
"A",48.8847217479634,"11/15/2020","mean","Trading-off privacy and utility: the Washington State experience assessing the performance of a public health digital exposure notification system for  coronavirus disease 2019.%%%WA%%%digital","contacts_reached_from_exposure_mean",NA,"inner","inner",NA
"B",32.4103096854105,"11/15/2020","mean","Trading-off privacy and utility: the Washington State experience assessing the performance of a public health digital exposure notification system for  coronavirus disease 2019.%%%WA%%%digital","contacts_reached_from_exposure_mean",NA,"inner","inner",NA
"C",31.9504286703216,"11/15/2020","mean","Trading-off privacy and utility: the Washington State experience assessing the performance of a public health digital exposure notification system for  coronavirus disease 2019.%%%WA%%%digital","contacts_reached_from_exposure_mean",NA,"inner","inner",NA
"D",13.9545398963045,"11/15/2020","mean","Trading-off privacy and utility: the Washington State experience assessing the performance of a public health digital exposure notification system for  coronavirus disease 2019.%%%WA%%%digital","contacts_reached_from_exposure_mean",NA,"inner","inner",NA
"A",48.8847217479634,"11/15/2020","mean","Trading-off privacy and utility: the Washington State experience assessing the performance of a public health digital exposure notification system for  coronavirus disease 2019.%%%WA%%%digital","contacts_reached_from_exposure_mean",NA,"inner","outer_perc",NA
"B",32.4103096854105,"11/15/2020","mean","Trading-off privacy and utility: the Washington State experience assessing the performance of a public health digital exposure notification system for  coronavirus disease 2019.%%%WA%%%digital","contacts_reached_from_exposure_mean",NA,"inner","outer_perc",NA
"C",31.9504286703216,"11/15/2020","mean","Trading-off privacy and utility: the Washington State experience assessing the performance of a public health digital exposure notification system for  coronavirus disease 2019.%%%WA%%%digital","contacts_reached_from_exposure_mean",NA,"inner","outer_perc",NA
"D",13.9545398963045,"11/15/2020","mean","Trading-off privacy and utility: the Washington State experience assessing the performance of a public health digital exposure notification system for  coronavirus disease 2019.%%%WA%%%digital","contacts_reached_from_exposure_mean",NA,"inner","outer_perc",NA
"A",48.8847217479634,"11/15/2020","mean","Trading-off privacy and utility: the Washington State experience assessing the performance of a public health digital exposure notification system for  coronavirus disease 2019.%%%WA%%%digital","contacts_reached_from_exposure_mean",NA,"inner","outer_abs",NA
"B",32.4103096854105,"11/15/2020","mean","Trading-off privacy and utility: the Washington State experience assessing the performance of a public health digital exposure notification system for  coronavirus disease 2019.%%%WA%%%digital","contacts_reached_from_exposure_mean",NA,"inner","outer_abs",NA
"C",31.9504286703216,"11/15/2020","mean","Trading-off privacy and utility: the Washington State experience assessing the performance of a public health digital exposure notification system for  coronavirus disease 2019.%%%WA%%%digital","contacts_reached_from_exposure_mean",NA,"inner","outer_abs",NA
"D",13.9545398963045,"11/15/2020","mean","Trading-off privacy and utility: the Washington State experience assessing the performance of a public health digital exposure notification system for  coronavirus disease 2019.%%%WA%%%digital","contacts_reached_from_exposure_mean",NA,"inner","outer_abs",NA
"ABCD",127.2,"11/15/2020","mean","Trading-off privacy and utility: the Washington State experience assessing the performance of a public health digital exposure notification system for  coronavirus disease 2019.%%%WA%%%digital","contacts_reached_from_exposure_mean",NA,"original","original",NA
"BCD",112.8,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%digital","contacts_reached_from_test_mean",NA,"overlap_remove","removed_overlap",NA
"B",46.6816056089187,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%digital","contacts_reached_from_test_mean",NA,"inner","inner",NA
"C",46.0192242746524,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%digital","contacts_reached_from_test_mean",NA,"inner","inner",NA
"D",20.0991701164289,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%digital","contacts_reached_from_test_mean",NA,"inner","inner",NA
"A",70.410228198696,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%digital","contacts_reached_from_test_mean",NA,"outer_perc","outer_perc",NA
"B",46.6816056089187,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%digital","contacts_reached_from_test_mean",NA,"inner","outer_perc",NA
"C",46.0192242746524,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%digital","contacts_reached_from_test_mean",NA,"inner","outer_perc",NA
"D",20.0991701164289,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%digital","contacts_reached_from_test_mean",NA,"inner","outer_perc",NA
"B",46.6816056089187,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%digital","contacts_reached_from_test_mean",NA,"inner","outer_abs",NA
"C",46.0192242746524,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%digital","contacts_reached_from_test_mean",NA,"inner","outer_abs",NA
"D",20.0991701164289,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%digital","contacts_reached_from_test_mean",NA,"inner","outer_abs",NA
"A",67.0203007518797,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%digital","contacts_reached_from_test_mean",NA,"outer_abs","outer_abs",NA
"BCD",112.8,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%digital","contacts_reached_from_test_mean",NA,"original","original",NA
"BCD",168,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%manual","contacts_reached_from_test_mean",NA,"overlap_remove","removed_overlap",NA
"B",69.5257955877513,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%manual","contacts_reached_from_test_mean",NA,"inner","inner",NA
"C",68.5392701962907,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%manual","contacts_reached_from_test_mean",NA,"inner","inner",NA
"D",29.934934215958,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%manual","contacts_reached_from_test_mean",NA,"inner","inner",NA
"A",104.866297317207,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%manual","contacts_reached_from_test_mean",NA,"outer_perc","outer_perc",NA
"B",69.5257955877513,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%manual","contacts_reached_from_test_mean",NA,"inner","outer_perc",NA
"C",68.5392701962907,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%manual","contacts_reached_from_test_mean",NA,"inner","outer_perc",NA
"D",29.934934215958,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%manual","contacts_reached_from_test_mean",NA,"inner","outer_perc",NA
"B",69.5257955877513,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%manual","contacts_reached_from_test_mean",NA,"inner","outer_abs",NA
"C",68.5392701962907,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%manual","contacts_reached_from_test_mean",NA,"inner","outer_abs",NA
"D",29.934934215958,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%manual","contacts_reached_from_test_mean",NA,"inner","outer_abs",NA
"A",67.0203007518797,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%manual","contacts_reached_from_test_mean",NA,"outer_abs","outer_abs",NA
"BCD",168,"12/10/2020","mean","Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).%%%California%%%manual","contacts_reached_from_test_mean",NA,"original","original",NA
"B",13.68,"04/01/2020","mean","Benchmarking SARS CoV-2 Infection in the Workplace to Support Continuity of Operations.%%%Oak Ridge National Laboratory%%%manual","cases_positive_from_test_mean",NA,"overlap_remove","removed_overlap",NA
"B",13.68,"04/01/2020","mean","Benchmarking SARS CoV-2 Infection in the Workplace to Support Continuity of Operations.%%%Oak Ridge National Laboratory%%%manual","cases_positive_from_test_mean",NA,"reported","inner",NA
"A",20.633650218195,"04/01/2020","mean","Benchmarking SARS CoV-2 Infection in the Workplace to Support Continuity of Operations.%%%Oak Ridge National Laboratory%%%manual","cases_positive_from_test_mean",NA,"outer_perc","outer_perc",NA
"B",13.68,"04/01/2020","mean","Benchmarking SARS CoV-2 Infection in the Workplace to Support Continuity of Operations.%%%Oak Ridge National Laboratory%%%manual","cases_positive_from_test_mean",NA,"reported","outer_perc",NA
"C",13.4858897817552,"04/01/2020","mean","Benchmarking SARS CoV-2 Infection in the Workplace to Support Continuity of Operations.%%%Oak Ridge National Laboratory%%%manual","cases_positive_from_test_mean",NA,"outer_perc","outer_perc",NA
"D",5.89004263255709,"04/01/2020","mean","Benchmarking SARS CoV-2 Infection in the Workplace to Support Continuity of Operations.%%%Oak Ridge National Laboratory%%%manual","cases_positive_from_test_mean",NA,"outer_perc","outer_perc",NA
"B",13.68,"04/01/2020","mean","Benchmarking SARS CoV-2 Infection in the Workplace to Support Continuity of Operations.%%%Oak Ridge National Laboratory%%%manual","cases_positive_from_test_mean",NA,"reported","outer_abs",NA
"A",67.0203007518797,"04/01/2020","mean","Benchmarking SARS CoV-2 Infection in the Workplace to Support Continuity of Operations.%%%Oak Ridge National Laboratory%%%manual","cases_positive_from_test_mean",NA,"outer_abs","outer_abs",NA
"C",43.8036110684346,"04/01/2020","mean","Benchmarking SARS CoV-2 Infection in the Workplace to Support Continuity of Operations.%%%Oak Ridge National Laboratory%%%manual","cases_positive_from_test_mean",NA,"outer_abs","outer_abs",NA
"D",19.1314878608959,"04/01/2020","mean","Benchmarking SARS CoV-2 Infection in the Workplace to Support Continuity of Operations.%%%Oak Ridge National Laboratory%%%manual","cases_positive_from_test_mean",NA,"outer_abs","outer_abs",NA
"B",13.68,"04/01/2020","mean","Benchmarking SARS CoV-2 Infection in the Workplace to Support Continuity of Operations.%%%Oak Ridge National Laboratory%%%manual","cases_positive_from_test_mean",NA,"original","original",NA
"ABC",166.8,"08/01/2020","mean","Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.%%%Alaska%%%manual","cases_reached_from_exposure_mean",NA,"overlap_remove","removed_overlap",NA
"A",72.0026355148714,"08/01/2020","mean","Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.%%%Alaska%%%manual","cases_reached_from_exposure_mean",NA,"inner","inner",NA
"B",47.7373631629588,"08/01/2020","mean","Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.%%%Alaska%%%manual","cases_reached_from_exposure_mean",NA,"inner","inner",NA
"C",47.0600013221699,"08/01/2020","mean","Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.%%%Alaska%%%manual","cases_reached_from_exposure_mean",NA,"inner","inner",NA
"A",72.0026355148714,"08/01/2020","mean","Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.%%%Alaska%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_perc",NA
"B",47.7373631629588,"08/01/2020","mean","Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.%%%Alaska%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_perc",NA
"C",47.0600013221699,"08/01/2020","mean","Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.%%%Alaska%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_perc",NA
"D",20.5537356868193,"08/01/2020","mean","Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.%%%Alaska%%%manual","cases_reached_from_exposure_mean",NA,"outer_perc","outer_perc",NA
"A",72.0026355148714,"08/01/2020","mean","Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.%%%Alaska%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_abs",NA
"B",47.7373631629588,"08/01/2020","mean","Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.%%%Alaska%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_abs",NA
"C",47.0600013221699,"08/01/2020","mean","Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.%%%Alaska%%%manual","cases_reached_from_exposure_mean",NA,"inner","outer_abs",NA
"D",19.1314878608959,"08/01/2020","mean","Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.%%%Alaska%%%manual","cases_reached_from_exposure_mean",NA,"outer_abs","outer_abs",NA
"ABC",166.8,"08/01/2020","mean","Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.%%%Alaska%%%manual","cases_reached_from_exposure_mean",NA,"original","original",NA
