,Unnamed: 0,Project_ID,Recipient-ID,Recipient_Name,State/Territory,Reporting_Tier,Recipient_Type,Completion_Status,Project_Name,Expenditure_Category_Group,Expenditure_Category,Project_Description,Adopted_Budget,Total_Cumulative_Obligations,Total_Cumulative_Expenditures,Number_of_Households_Served_(Select_Expenditure_Categories_Only),Number_of_Workers_Served_(Select_Expenditure_Categories_Only),Number_of_Gov_FTE_Responding_to_COVID-19_(Select_Expenditure_Categories_Only),Number_of_Gov_FTE_Rehired_(Select_Expenditure_Categories_Only),Community_benefit_agreement?_(Infrastructure_Only),Complying_with_David_Bacon?_(Infrastructure_Only),Project_labor_agreement?_(Infrastructure_Only),Does_the_Project_have_Capital_Expenditures?_(Yes/No)_(Select_Expenditure_Categories_Only),Type_of_Capital_Expenditures_(Select_Expenditure_Categories_Only),Total_Expected_Cost_of_Capital_Expenditures_(Select_Expenditure_Categories_Only),Primary_Demographic_Served_(Select_Expenditure_Categories_Only),Secondary_Demographic_Served_(Select_Expenditure_Categories_Only),Tertiary_Demographic_Served_(Select_Expenditure_Categories_Only),Project_is_conducting_an_evidence_based_program_evaluation?_(Yes/No),Project_Total_Spending_on_Evidence_Based_Evaluation,timestamp,Number_of_Gov_FTE_Rehired_(Select_Expenditure_Categories_Only)2,Complying_with_Davis_Bacon?_(Infrastructure_Only),Project_being_evaluated_through_rigorous_program_evaluation?,Dollar_amount_of_the_total_project_spending_allocated_towards_evidence-based_interventions,Project_Description_keywords,Project_mention_tracing_yn
132,132,TPN-062478,RCP-036114,District Of Columbia,District of Columbia,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",State/DC,Cancelled,COVID Health Safety Measures in DCPCS,1-Public Health,1.3-COVID-19 Contact Tracing,This project covers costs associated with providing health screeners in DC Public Charter Schools as well as tracing services for students who test positive for COVID-19.,0.0,0.0,0.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"COVID-19, Charter, DC, Public, Schools, associated, costs, covers, health, positive, project, providing, screeners, services, students, test, tracing",yes
133,133,TPN-085388,RCP-039738,"Boone County, Illinois",Illinois,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,Boone County Health Department COVID-19 Mitigation Wages,1-Public Health,1.3-COVID-19 Contact Tracing,"Wages for Boone County Health Department COVID-19 staff, such as Contact Tracers and PRN Nurses. Duties of the COVID-19 staff include: COVID-19 information line, quarantine, isolation, data tracking and analysis, contact tracing, follow-up, schools, long-term care centers, vaccination clinics, keeping guidance up-to-date, etc. Staff members also respond to community complaints and outbreaks in workplace settings",,416828.0,416828.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"Boone, COVID-19, Contact, County, Department, Duties, Health, Nurses, PRN, Staff, Tracers, Wages, analysis, care, centers, clinics, community, complaints, contact, data, date, follow, guidance, include, information, isolation, keeping, line, long, members, outbreaks, quarantine, respond, schools, settings, staff, term, tracing, tracking, vaccination, workplace",yes
134,134,TPN-092714,RCP-036634,"Canovanas Municipio City, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed less than 50%,Covid-19 and Health Center,1-Public Health,1.3-COVID-19 Contact Tracing,"The COVID-19 & Health Center (the “Center) is designed to mitigate and prevent the spread of the coronavirus in the Municipality of Canóvanas.  It will operate in collaboration with non-profit organizations, including a multi-disciplinary team integrated by different professionals.  The core elements are: contact tracing, vaccinations and direct services to individuals and families affected by the coronavirus. Some of the main objectives are:

 

•             Increase public awareness on COVID-19 preventive measures, reduce the virus transmission, through educational and promotional activities.

•             Develop and coordinate collaborative agreements related to vaccination and service delivery to manage the identified needs of the population resulting from research and screening efforts.

•             Investigate cases from Bio Portal information and self-referred cases.

•             Follow up contacts and cases until isolation or quarantine is complete.

•             Identify active outbreaks and report in a timely manner to the concerned areas so that they can be addressed and prevent the spread of the condition.

•             Provide health clinics in disadvantage communities

•             Covid19 testing

•             Serves as a liason to access other municipal units

 

Services under this initiative will be provided by the following professionals:

 

•             Epidemiologist;

•             Program coordinator or administrator;

•             Call center operators;

•             Nurses

•             Case specialists;

•             Health monitor; and

•             Health Educator.

 

It will also provided psychological and nutrition services, support for families in isolation or quarantine, as well as referrals, related to the pandemic effects, health education, spiritual counseling, motivational services and life coaching.  The communities, and the  the bedridden, specially those in areas of difficult access, will be reach through the acquisition of a mobile unit.",655416.66,489864.22,489864.22,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"-, Bio, COVID-19, Canóvanas, Case, Center, Covid19, Develop, Educator, Epidemiologist, Follow, Health, Identify, Increase, Investigate, Municipality, Nurses, Portal, Program, Provide, Serves, Services, access, acquisition, active, activities, addressed, administrator, affected, agreements, areas, awareness, bedridden, cases, center, clinics, coaching, collaboration, collaborative, communities, complete, concerned, condition, contact, contacts, coordinate, coordinator, core, coronavirus, counseling, delivery, designed, different, difficult, direct, disadvantage, disciplinary, education, educational, effects, efforts, elements, families, following, health, identified, including, individuals, information, initiative, integrated, isolation, liason, life, main, manage, manner, measures, mitigate, mobile, monitor, motivational, multi, municipal, needs, non, nutrition, objectives, operate, operators, organizations, outbreaks, pandemic, population, prevent, preventive, professionals, profit, promotional, provided, psychological, public, quarantine, reach, reduce, referrals, referred, related, report, research, resulting, screening, self, service, services, specialists, spiritual, spread, support, team, testing, timely, tracing, transmission, unit, units, vaccination, vaccinations, virus, •",yes
135,135,TPN-080974,RCP-036433,"Whatcom County, Washington",Washington,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Contact Tracing Q1 2022,1-Public Health,1.3-COVID-19 Contact Tracing,Efforts to trace spread of the COVID19 virus in the community.,,203247.0,203247.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"COVID19, Efforts, community, spread, trace, virus",yes
136,136,TPN-072396,RCP-039509,"Evanston, Illinois",Illinois,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Cancelled,COVID-19 Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,Funds were obligated to continue the City of Evanston Health Department's contact tracing in 2022 when funding from the State of Illinois for this purpose have been expended.,0.0,0.0,0.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"City, Department, Evanston, Funds, Health, Illinois, State, contact, continue, expended, funding, obligated, purpose, tracing",yes
137,137,TPN-051813,RCP-053281,"City Of Gresham, Oregon",Oregon,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed less than 50%,COVID19 Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,Program CWSARPACVD-CTR intends to identify COVID19 cases early and alert any employees who may have been infected to stop any outbreaks from occurring within Gresham's workforce. This ensures that Gresham employees are not spreading COVID19 to other coworkers or the general public.,,334.38,334.38,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"COVID19, CTR, CWSARPACVD, Gresham, Program, alert, cases, coworkers, employees, ensures, general, identify, infected, intends, occurring, outbreaks, public, spreading, stop, workforce",no
138,138,TPN-047909,RCP-036679,"Trujillo Alto Municipio, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,COVID Contact Tracing Center,1-Public Health,1.3-COVID-19 Contact Tracing,"The COVID Contact Tracing Center (the “Center) is a program design to mitigate and prevent the spread of the coronavirus in the Municipality of Trujillo Alto.  The program is operated in collaboration with the Puerto Rico Department of Health, non-profit organizations and includes a multi-disciplinary team integrated by different professionals.  The program consists of three core elements: contact tracing, vaccinations and direct services to individuals and families affected by the coronavirus.  The Contact Tracing Project particularly is aimed at investigating and tracing COVID cases within the Municipality, and it includes an outreach and community education component.  Some of the main objectives entail: 
•	Increase public awareness on COVID-19 preventive measures, to reduce the virus transmission, through educational campaigns and educational and promotional activities.
•	Develop and coordinate collaborative agreements related to vaccination and service delivery to manage the identified needs of the population resulting from research and screening efforts.
•	Investigate cases from Bio Portal information and self-referred cases.
•	Follow up contacts and cases until isolation or quarantine is complete. 
•	Identify active outbreaks and report in a timely manner to the concerned areas so that they can be addressed and prevent the spread of the condition. 
The Center also serves as a liaison to access and refer to other municipal units. Services under this initiative will be provided by an epidemiologist, physician, case specialists, health monitor and health educator
The main services provided by the program include an investigation and case tracking system, educational intervention and psychological and nutrition services, support for families in isolation or quarantine, referrals for Tele-Medicine, referrals for COVID-19 testing and vaccination, health education, spiritual counseling, motivational services, and life coaching.  In addition, the Municipality will continue providing COVID vaccinations to the communities and home vaccinations for the bedridden in collaboration with the traditional vaccination centers.",140398.0,139333.0,129033.97,,,,,,,,No,,,1 Imp General Public,1 Imp General Public,,,,2023-12-31,,,,,"-, Alto, Bio, COVID, COVID-19, Center, Contact, Department, Develop, Follow, Health, Identify, Increase, Investigate, Medicine, Municipality, Portal, Project, Puerto, Rico, Services, Tele, Tracing, Trujillo, access, active, activities, addition, addressed, affected, agreements, aimed, areas, awareness, bedridden, campaigns, case, cases, centers, coaching, collaboration, collaborative, communities, community, complete, component, concerned, condition, consists, contact, contacts, continue, coordinate, core, coronavirus, counseling, delivery, design, different, direct, disciplinary, education, educational, educator, efforts, elements, entail, epidemiologist, families, health, home, identified, include, includes, individuals, information, initiative, integrated, intervention, investigating, investigation, isolation, liaison, life, main, manage, manner, measures, mitigate, monitor, motivational, multi, municipal, needs, non, nutrition, objectives, operated, organizations, outbreaks, outreach, physician, population, prevent, preventive, professionals, profit, program, promotional, provided, providing, psychological, public, quarantine, reduce, refer, referrals, referred, related, report, research, resulting, screening, self, serves, service, services, specialists, spiritual, spread, support, system, team, testing, timely, tracing, tracking, traditional, transmission, units, vaccination, vaccinations, virus, •",yes
139,139,TPN-059427,RCP-036681,"Yauco Municipality, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,Contact Tracing Contract,1-Public Health,1.3-COVID-19 Contact Tracing,"Contract to provide contact tracing, vaccination efforts.",68000.0,68000.0,68000.0,,,,,,,,No,,,1 Imp General Public,2 Imp Low or moderate income HHs or populations,7 Imp Other HHs or populations that experienced a negative economic,,,2023-12-31,,,,,"Contract, contact, efforts, provide, tracing, vaccination",yes
140,140,TPN-064274,RCP-040166,"Westfield, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Health Dept Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,Health Department hired contact tracers for the City of Westfield after the State of Massachusetts stopped doing it.,13412.5,13412.5,13412.5,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"City, Department, Health, Massachusetts, State, Westfield, contact, hired, stopped, tracers",yes
141,141,TPN-071054,RCP-036098,"Anne Arundel County, Maryland",Maryland,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Employee COVID-19 Vaccine and Test Tracking,1-Public Health,1.3-COVID-19 Contact Tracing,"Quarter 1 2023: 
Status To Completion: Completed 
Adopted Budget: $47,000.00
 Program Income Earned: $0.00
Program Income Expended: $0.00
 Total Cumulative Obligations: $46,267.98
Total Cumulative Expenditures: $46,267.98
Current Period Obligations: $0.00
Current Period Expenditures: $0.00


Acquisition of a medical software system to enable the County to securely track vaccination status of employees and analyze risk of exposure.",47000.0,46267.98,46267.98,,,,,,,,Yes,Technology and tools,47000.0,1 Imp General Public,,,,,2023-12-31,,,,,"46,267.98, 47,000.00, Acquisition, Adopted, Budget, Completed, Completion, County, Cumulative, Current, Earned, Expended, Expenditures, Income, Obligations, Period, Program, Quarter, Status, Total, analyze, employees, enable, exposure, medical, risk, software, status, system, track, vaccination",no
142,142,TPN-055211,RCP-053283,"City And County Of Honolulu, Hawaii",Hawaii,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Contact Tracers,1-Public Health,1.3-COVID-19 Contact Tracing,Internal City contact tracing for staff only.  The City is seeing an increase in positive cases within its employees.  Internal contact tracers helps to stop the spread to other employees.,132201.43,132201.43,132201.43,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"City, Internal, cases, contact, employees, helps, increase, positive, seeing, spread, staff, stop, tracers, tracing",yes
143,143,TPN-191144,RCP-036013,"City Of Baltimore, Maryland",Maryland,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed 50% or more,COVID19 Health Response - Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"The Baltimore City Health Department (BCHD) will fund contact tracing services to prevent and control COVID-19 infection (or transmission) among populations at higher risk and that are underserved, including racial and ethnic minority groups and people living in rural communities. Performance measures include percent of contacts and cases reached.",5245000.0,3091943.12,2339543.25,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"BCHD, Baltimore, COVID-19, City, Department, Health, Performance, cases, communities, contact, contacts, control, ethnic, fund, groups, higher, include, including, infection, living, measures, minority, people, percent, populations, prevent, racial, reached, risk, rural, services, tracing, transmission, underserved",yes
144,144,TPN-112948,RCP-039036,"North Bergen Township, New Jersey",New Jersey,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Cancelled,2022 Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,Provide contact tracing against covid-19 for residents and staff of the Township,0.0,0.0,0.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"Provide, Township, contact, covid-19, residents, staff, tracing",yes
145,145,TPN-114960,RCP-037598,"Framingham, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Framingham COVID-19 Contact Tracing Q4 2022,1-Public Health,1.3-COVID-19 Contact Tracing,Citywide COVID-19 Contract Tracing,,25856.0,25856.0,,,,,,,,No,,,1 Imp General Public,2 Imp Low or moderate income HHs or populations,4 Imp HHs that experienced increased food or housing insecurity,,,2023-12-31,,,,,"COVID-19, Citywide, Contract, Tracing",no
146,146,TPN-116297,RCP-035878,"City Of Indianapolis and Marion County, Indiana",Indiana,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Indiana University Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,Funds support staff at Indiana University to provide contract tracing efforts in Indianapolis/Marion County for COVID-19.,950000.0,950000.0,950000.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"COVID-19, County, Funds, Indiana, Indianapolis, Marion, University, contract, efforts, provide, staff, support, tracing",yes
147,147,TPN-117208,RCP-040528,"Alliance, Ohio",Ohio,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,ARPA COVID 19 6 VACCINE TEMPERATURE DATA LOGGERS,1-Public Health,1.3-COVID-19 Contact Tracing,ARPA COVID 19 6 VACCINE TEMPERATURE DATA LOGGERS,1389.93,1389.93,1389.93,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"ARPA, COVID, DATA, LOGGERS, TEMPERATURE, VACCINE",no
148,148,TPN-117954,RCP-036052,"Jackson County, Missouri",Missouri,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed less than 50%,Jackson County Health Dept-1.3,1-Public Health,1.3-COVID-19 Contact Tracing,"Maintain limited Disease Investigators on hand to support outbreak management, especially in high risk, congregate settings",98425.6,98425.6,48048.22,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"Disease, Investigators, Maintain, congregate, hand, high, limited, management, outbreak, risk, settings, support",no
149,149,TPN-164860,RCP-037812,State of California,California,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",State/DC,Completed,Statewide COVID-19 Contact Tracing Redirection,1-Public Health,1.3-COVID-19 Contact Tracing,"Early in the COVID-19 Pandemic, California directed all state departments to identify five percent of staff to participate in statewide contact tracing efforts. These employees underwent training and the majority were assigned to local public health departments to augment the capacity to perform contact tracing across California. At its peak, the project had over 2,800 redirected state employees that performed contact tracing activities. SLFRF funds were used to reimburse various state funds for labor costs associated with redirecting state employees who conducted COVID-19 contact tracing activities in 2021-22.",35498403.0,35498403.0,35498403.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"COVID-19, California, Pandemic, SLFRF, activities, assigned, associated, augment, capacity, conducted, contact, costs, departments, directed, efforts, employees, funds, health, identify, labor, local, majority, participate, peak, percent, perform, performed, project, public, redirected, redirecting, reimburse, staff, state, statewide, tracing, training, underwent",yes
150,150,TPN-127261,RCP-036144,"Oklahoma County, Oklahoma",Oklahoma,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed less than 50%,Sheriff Camera System,1-Public Health,1.3-COVID-19 Contact Tracing,"This project is an upgrade of the current camera system and facilities access control at the County Courthouse and Courthouse Annex, to a version that includes COVID-19 response analytics, contact tracing algorithms, and integrated access control for tracing the movements of individuals with badge access.",640691.24,640691.24,629271.24,,,,,,,,Yes,Technology infrastructure to adapt government operations,583951.24,1 Imp General Public,,,,,2023-12-31,,,,,"Annex, COVID-19, County, Courthouse, access, algorithms, analytics, badge, camera, contact, control, current, facilities, includes, individuals, integrated, movements, project, response, system, tracing, upgrade, version",yes
151,151,TPN-176526,RCP-036672,"Mayaguez Municipio, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed less than 50%,Researcher(2)/Educator Services in the COVID 19 Tracking Program,1-Public Health,1.3-COVID-19 Contact Tracing,Community services and contagion control through research/education work in the COVID 19 screening program.,9600.0,9600.0,1050.0,,,,,,,,No,,,14 Dis Imp Low income HHs and populations,2 Imp Low or moderate income HHs or populations,1 Imp General Public,,,2023-12-31,,,,,"COVID, Community, contagion, control, education, program, research, screening, services, work",no
152,152,TPN-176529,RCP-036672,"Mayaguez Municipio, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Researcher(3)/Educator Services in the COVID 19 Tracking Program,1-Public Health,1.3-COVID-19 Contact Tracing,Researcher/Educator Services in the COVID 19 Tracking Program,33600.0,33600.0,33600.0,,,,,,,,No,,,1 Imp General Public,14 Dis Imp Low income HHs and populations,5 Imp HHs that qualify for certain federal programs,,,2023-12-31,,,,,"COVID, Educator, Program, Researcher, Services, Tracking",no
153,153,TPN-146495,RCP-036058,"Jefferson County, Missouri",Missouri,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Crystal City School District,1-Public Health,1.3-COVID-19 Contact Tracing,To pay for one Nurse salary and benefits for the year,35198.0,35198.0,35198.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"Nurse, benefits, pay, salary, year",no
154,154,TPN-146496,RCP-036058,"Jefferson County, Missouri",Missouri,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,DeSoto #73 School District,1-Public Health,1.3-COVID-19 Contact Tracing,To pay for one Nurse salary and benefits for the year,62136.62,62136.62,62136.62,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"Nurse, benefits, pay, salary, year",no
155,155,TPN-146497,RCP-036058,"Jefferson County, Missouri",Missouri,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Grandview R-II School District,1-Public Health,1.3-COVID-19 Contact Tracing,To pay for one Nurse salary and benefits for the year,48044.96,48044.96,48044.96,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"Nurse, benefits, pay, salary, year",no
156,156,TPN-146498,RCP-036058,"Jefferson County, Missouri",Missouri,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Fox C6 School District,1-Public Health,1.3-COVID-19 Contact Tracing,To pay for one Nurse salary and benefits for the year,72771.0,72771.0,72771.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"Nurse, benefits, pay, salary, year",no
157,157,TPN-146499,RCP-036058,"Jefferson County, Missouri",Missouri,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Dunklin RV School District,1-Public Health,1.3-COVID-19 Contact Tracing,To pay for one Nurse salary and benefits for the year,59470.09,59470.09,59470.09,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"Nurse, benefits, pay, salary, year",no
158,158,TPN-146500,RCP-036058,"Jefferson County, Missouri",Missouri,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Windsor C1 School District,1-Public Health,1.3-COVID-19 Contact Tracing,To pay for one Nurse salary and benefits for the year,64934.38,64934.38,64934.38,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"Nurse, benefits, pay, salary, year",no
159,159,TPN-146501,RCP-036058,"Jefferson County, Missouri",Missouri,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Jefferson RVII School District,1-Public Health,1.3-COVID-19 Contact Tracing,To pay for one Nurse salary and benefits for the year,47429.86,47429.86,47429.86,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"Nurse, benefits, pay, salary, year",no
160,160,TPN-146502,RCP-036058,"Jefferson County, Missouri",Missouri,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Northwest RI School District,1-Public Health,1.3-COVID-19 Contact Tracing,To pay for one Nurse salary and benefits for the year,83480.25,83480.25,83480.25,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"Nurse, benefits, pay, salary, year",no
161,161,TPN-146503,RCP-036058,"Jefferson County, Missouri",Missouri,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Hillsboro RIII School District,1-Public Health,1.3-COVID-19 Contact Tracing,To pay for one Nurse salary and benefits for the year,64603.04,64603.04,64603.04,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"Nurse, benefits, pay, salary, year",no
162,162,TPN-146504,RCP-036058,"Jefferson County, Missouri",Missouri,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Festus R-VI School District,1-Public Health,1.3-COVID-19 Contact Tracing,To pay for one Nurse salary and benefits for the year,64510.0,64510.0,64510.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"Nurse, benefits, pay, salary, year",no
163,163,TPN-144588,RCP-036168,"Fresno County, California",California,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,CONTACT TRACING (ISD) EC 1.3 23Q3,1-Public Health,1.3-COVID-19 Contact Tracing,Cost of COVID 19 contact tracing and outbreak mitigation and costs include salaries and benefits of County employees.,20602.75,20602.75,20602.75,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"COVID, Cost, County, benefits, contact, costs, employees, include, mitigation, outbreak, salaries, tracing",yes
164,164,TPN-162641,RCP-036672,"Mayaguez Municipio, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Researcher(4)/Educator Services in the COVID 19 Tracking Program,1-Public Health,1.3-COVID-19 Contact Tracing,"COVID -19 testing, tracing, medical consultation and orientation to the public in the Municipality of Mayaguez.",33600.0,33600.0,33600.0,,,,,,,,No,,,1 Imp General Public,2 Imp Low or moderate income HHs or populations,20 Dis Imp Other HHs or populations that experienced a disproportionate,,,2023-12-31,,,,,"-19, COVID, Mayaguez, Municipality, consultation, medical, orientation, public, testing, tracing",yes
165,165,TPN-172222,RCP-036144,"Oklahoma County, Oklahoma",Oklahoma,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed less than 50%,PBA Contact Tracing Camera System,1-Public Health,1.3-COVID-19 Contact Tracing,"This project is an upgrade of the current camera system and facilities access control within the public building authority facilities, to a version that includes COVID-19 response analytics, contact tracing algorithms, and integrated access control for tracing the movements of individuals with badge access. These functions will be especially useful in performing contact tracing to better protect against the spread of COVID-19 and other viruses. The new system can follow individuals throughout the facilities and will mark other individuals who encounter them and follow their movements through the facilities as well. Currently, no such capability exists for contact tracing in any of the facilities. This change benefits the entire county - those who office in the facilities as well as the general public.",500678.01,500678.01,8666.0,,,,,,,,Yes,Technology and tools,500678.01,1 Imp General Public,,,,,2023-12-31,,,,,"COVID-19, access, algorithms, analytics, authority, badge, benefits, building, camera, capability, change, contact, control, county, current, encounter, entire, exists, facilities, follow, functions, general, includes, individuals, integrated, mark, movements, new, office, performing, project, protect, public, response, spread, system, tracing, upgrade, useful, version, viruses",yes
166,166,TPN-176521,RCP-036672,"Mayaguez Municipio, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,Researcher(6)/Educator Services in the COVID 19 Tracking Program,1-Public Health,1.3-COVID-19 Contact Tracing,Community services and contagion control through research/education work in the COVID 19 screening program.,14080.0,14080.0,11440.0,,,,,,,,No,,,1 Imp General Public,14 Dis Imp Low income HHs and populations,5 Imp HHs that qualify for certain federal programs,,,2023-12-31,,,,,"COVID, Community, contagion, control, education, program, research, screening, services, work",no
