,Unnamed: 0,source,pm_start_date,pm_end_date,pm_location,cases_assigned_count,cases_interviewed_count,cases_interviewed_perc,cases_named_contacts_count,cases_not_assigned_count,cases_per_staff_month,cases_positive_from_test_mean,cases_positive_from_test_med,cases_reached_count,cases_reached_from_exposure_mean,cases_reached_from_positive_max,cases_reached_from_positive_med,cases_reached_from_symptom_mean,cases_reached_from_symptom_med,cases_reached_from_test_mean,cases_reached_from_test_med,cases_reached_perc,cases_test_from_symptom_med,cases_were_contacts_count,contacts_assigned_count,contacts_infected_count,contacts_infected_perc,contacts_interviewed_count,contacts_interviewed_perc,contacts_named_count,contacts_named_count_household,contacts_named_perc_household,contacts_named_ratio_mean,contacts_named_ratio_mean_cases_naming,contacts_named_ratio_mean_household,contacts_named_ratio_med,contacts_per_staff_month,contacts_reached_count,contacts_reached_from_exposure_mean,contacts_reached_from_exposure_med,contacts_reached_from_named_mean,contacts_reached_from_named_med,contacts_reached_from_positive_mean,contacts_reached_from_symptom_med,contacts_reached_from_test_mean,contacts_reached_from_test_med,contacts_reached_perc,contacts_tested_count,hd_cases_interviewed_perc_hdcount,hd_cases_interviewed_perc_mean,hd_cases_interviewed_perc_med,hd_cases_positive_from_test_mean_hdcount,hd_cases_positive_from_test_mean_mean,hd_cases_positive_from_test_mean_med,hd_cases_reached_from_positive_mean_hdcount,hd_cases_reached_from_positive_mean_mean,hd_cases_reached_from_positive_mean_med,hd_cases_was_contacts_perc_hdcount,hd_cases_was_contacts_perc_mean,hd_cases_was_contacts_perc_med,hd_contacts_named_ratio_mean_cases_naming_hdcount,hd_contacts_named_ratio_mean_cases_naming_mean,hd_contacts_named_ratio_mean_cases_naming_med,hd_contacts_named_ratio_mean_hdcount,hd_contacts_named_ratio_mean_mean,hd_contacts_named_ratio_mean_med,hd_contacts_reached_from_named_mean_hdcount,hd_contacts_reached_from_named_mean_mean,hd_contacts_reached_perc_hdcount,hd_contacts_reached_perc_mean,hd_contacts_reached_perc_med,hd_contacts_test_from_notified_hdcount,hd_contacts_test_from_notified_mean,hd_contacts_test_from_notified_med,hd_percent_naming_contcts_hdcount,hd_percent_naming_contcts_mean,hd_percent_naming_contcts_med,hr_hours,monetary_cost,notifications_sent_count,num_users_count,num_users_upper_bound,percent_naming_contacts,quarantine_adherent_perc,self_report_codes_issued,staff_hired_ci_count,staff_hired_ci_per_health_dept_mean,staff_hired_count,staff_hired_ct_count,staff_hired_ct_per_health_dept_mean,user_cases_notifying,users_with_code,region,time_period,ratio_cases_contacts_intv_computed,contacts_named_ratio_computed,contacts_named_naming_ratio_computed
52,52,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2020-11-01,12/01/2020,64 HD accross US and collonies,3861466.0,1859220.0,48.15,971415.0,,113.0,,,,,,,,,,,,,338605.0,,,,,,2935489.0,,,,,,,114.0,1433604.0,,,,,,,,,48.84,437285.0,53.0,54.1,61.9,48.0,60.0,48.0,47.0,64.8,48.0,44.0,11.0,5.6,47.0,2.9,2.6,52.0,1.5,1.4,43.0,31.2,47.0,58.8,64.4,40.0,31.1,29.4,45.0,53.9,53.4,,,,,,52.25,,,45964.0,867.0,,45363.0,856.0,,,US,T3,,1.58,3.02
53,53,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-11-01,12/01/2021,64 HD accross US and collonies,2163555.0,922639.0,42.64,383810.0,,117.0,,,,,,,,,,,,,148126.0,,,,,,944930.0,,,,,,,67.0,498195.0,,,,,,,,,52.72,216154.0,47.0,52.0,51.3,48.0,33.6,24.0,47.0,38.4,24.0,44.0,8.2,2.7,43.0,2.5,2.4,46.0,1.0,,43.0,,38.0,52.3,56.5,36.0,33.7,27.4,45.0,43.9,44.4,,,,,,41.6,,,26868.0,560.0,,22292.0,455.0,,,US,T6,,1.02,2.46
54,54,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2020-12-01,01/01/2021,64 HD accross US and collonies,6078802.0,2573653.0,42.34,1214861.0,,135.0,,,,,,,,,,,,,473160.0,,,,,,2816336.0,,,,,,,104.0,1416703.0,,,,,,,,,50.3,512570.0,51.0,50.5,53.9,48.0,52.8,48.0,47.0,52.8,24.0,45.0,9.4,5.1,46.0,2.5,2.5,50.0,1.3,1.2,44.0,33.6,48.0,52.5,58.2,40.0,35.2,33.8,46.0,50.4,50.0,,,,,,47.2,,,54651.0,1072.0,,54905.0,1077.0,,,US,T3,,1.09,2.32
55,55,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-12-01,01/01/2022,64 HD accross US and collonies,5897346.0,1569451.0,26.61,585350.0,,266.0,,,,,,,,,,,,,179402.0,,,,,,1406794.0,,,,,,,98.0,754314.0,,,,,,,,,53.62,249420.0,50.0,32.4,25.9,50.0,36.0,24.0,50.0,45.6,24.0,49.0,3.1,1.7,48.0,2.5,2.4,50.0,,,47.0,,44.0,46.0,40.9,39.0,36.1,27.3,48.0,38.8,32.6,,,,,,37.3,,,31720.0,634.0,,23997.0,471.0,,,US,T6,,0.9,2.4
56,56,Centering Health Equity Within COVID-19 Contact Tracing: Connecticut's Community Outreach Specialist Program.,2021-03-23,05/31/2021,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,12198.0,,,,,,,,7949.0,,,,,,,,,65.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast,T4,,,
57,57,Centering Health Equity Within COVID-19 Contact Tracing: Connecticut's Community Outreach Specialist Program.,2021-03-23,05/31/2021, Connecticut,43116.0,,,,,,,,24973.0,,,,,,,,57.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast,T4,,,
58,58,Centralized COVID-19 Contact Tracing in a Home-Rule State.,2020-06-01,06/30/2021,Michigan,,,,,,,,,,,,,,,,,,,,432218.0,20367.0,,269439.0,,,,,,,,,,,,,,,,,,,,108837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midwest,T2,,,
59,59,"Community-Based Workforce for COVID-19 Contact Tracing and Prevention Activities in New York City, July-December 2020.",2020-07-09,12/31/2020,New York City,94704.0,55592.0,58.7,,,,,,84230.0,,,,,,,,88.94,,,61246.0,,,35005.0,,,,,,,,,,49303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast,T2,1.59,,
60,60,Contact tracing reveals community transmission of COVID-19 in New York City.,2020-10-01,05/10/2021,New York City,,,,,,,,,644029.0,,,,,,,,,,,,,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast,T2,,,
61,61,Contact tracing: Characteristics of COVID-19 cases that provided contacts.,2021-02-01,11/30/2021,New York except NYC,,550850.0,,,,,,,,,,,,,,,,,,,,,,,316645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5,,,,,,,,,,Northeast,T3,,0.57,
62,62,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",2020-03-01,05/31/2020,Salt Lake City,184.0,184.0,100.0,,,,,,,,,,,,,48.0,,,,,285.0,19.01,,,1499.0,,,,,,,,1307.0,,96.0,,,,,,,87.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102.0,29234.0,,,,,,,,,,,,,,Northwest,T1,,8.15,
63,63,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",2020-03-11,05/25/2020,DE,9762.0,6527.0,66.86,1137.0,,,,,,,,192.0,,,,,,,,,4.0,0.14,882.0,31.12,2834.0,,,,2.5,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.42,,,,,,,,,,Northeast,T1,7.4,0.43,2.49
64,64,Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).,2020-12-10,07/01/2021,California,,68107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,110497.0,,,,,,,140.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10910971.0,,,,,,,,,,68107.0,446643.0,Northwest,T3,,,
65,65,Digital Point Solutions for Extending Contact Tracing Capacity.,2021-03-15,04/13/2021,state_a,21540.0,,,,74869.0,,,,,,,,,,,,,,,,,,,,18700.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227887.0,,21540.0,,44.0,,,,,,,,,,,T4,,,
66,66,ENPA and ENCV metrics reported by States,2023-02-01,02/28/2023,CA,,,,6751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32396.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T8,,,
67,67,ENPA and ENCV metrics reported by States,2023-02-01,02/28/2023,DC,,,,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T8,,,
68,68,ENPA and ENCV metrics reported by States,2023-02-01,02/28/2023,HI,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T8,,,
69,69,ENPA and ENCV metrics reported by States,2023-02-01,02/28/2023,MA,,,,1354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T8,,,
70,70,ENPA and ENCV metrics reported by States,2023-02-01,02/28/2023,MN,,,,1730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T8,,,
71,71,ENPA and ENCV metrics reported by States,2023-02-01,02/28/2023,NV,,,,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T8,,,
72,72,ENPA and ENCV metrics reported by States,2023-02-01,02/28/2023,WA,,,,4010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northwest,T8,,,
73,73,ENPA and ENCV metrics reported by States,2023-02-01,03/01/2023,NM,,,,622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T8,,,
74,74,ENPA and ENCV metrics reported by States,2023-02-01,03/03/2023,AK,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T8,,,
75,75,ENPA and ENCV metrics reported by States,2023-02-01,03/06/2023,AZ,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T8,,,
76,76,ENPA and ENCV metrics reported by States,2023-02-01,03/06/2023,MD,,,,990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T8,,,
77,77,ENPA and ENCV metrics reported by States,2023-02-01,03/06/2023,MO,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T8,,,
78,78,ENPA and ENCV metrics reported by States,2022-02-02,02/01/2023,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,,,
79,79,ENPA and ENCV metrics reported by States,2022-02-02,03/03/2023,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000.0,,,,2256.0,,,,,,,,,T6,,,
80,80,ENPA and ENCV metrics reported by States,2021-03-23,02/01/2023,NM,,,,60144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T4,,,
81,81,ENPA and ENCV metrics reported by States,2021-03-23,03/01/2023,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738689.0,,,,1062.0,,,,,,,,,T4,,,
82,82,ENPA and ENCV metrics reported by States,2021-06-17,02/01/2023,MA,,,,83472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T5,,,
83,83,ENPA and ENCV metrics reported by States,2021-06-17,02/28/2023,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1555562.57,,,,43908.0,,,,,,,,,T5,,,
84,84,ENPA and ENCV metrics reported by States,2020-08-19,02/01/2023,AZ,,,,22020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,,,
85,85,ENPA and ENCV metrics reported by States,2020-08-19,03/06/2023,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141252.0,,,,4534.0,,,,,,,,,T2,,,
86,86,ENPA and ENCV metrics reported by States,2020-08-22,02/01/2023,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,,,
87,87,ENPA and ENCV metrics reported by States,2020-10-20,02/01/2023,DC,,,,35811.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982687.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3,,,
88,88,ENPA and ENCV metrics reported by States,2020-10-20,02/28/2023,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,22547.0,,,,,,,,,T3,,,
89,89,ENPA and ENCV metrics reported by States,2020-11-22,02/01/2023,MN,,,,80024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3,,,
90,90,ENPA and ENCV metrics reported by States,2020-11-22,02/28/2023,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2401156.0,,,,,,,,,,,,,T3,,,
91,91,ENPA and ENCV metrics reported by States,2020-11-30,02/01/2023,WA,,,,217422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2185705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northwest,T3,,,
92,92,ENPA and ENCV metrics reported by States,2020-11-30,02/28/2023,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670000.0,,,,110340.0,,,,,,,,Northwest,T3,,,
93,93,ENPA and ENCV metrics reported by States,2022-11-30,02/01/2023,NV,,,,1093.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T8,,,
94,94,ENPA and ENCV metrics reported by States,2020-12-01,02/01/2023,MO,,,,3340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3,,,
95,95,ENPA and ENCV metrics reported by States,2020-12-01,03/06/2023,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000.0,,,,280.0,,,,,,,,,T3,,,
96,96,ENPA and ENCV metrics reported by States,2020-12-08,02/01/2023,MD,,,,66804.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3,,,
97,97,ENPA and ENCV metrics reported by States,2020-12-10,02/01/2023,CA,,,,538572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2849498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3,,,
98,98,ENPA and ENCV metrics reported by States,2020-12-10,02/28/2023,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8661818.0,,,,120524.0,,,,,,,,,T3,,,
99,99,ENPA and ENCV metrics reported by States,2020-12-17,02/01/2023,HI,,,,18260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3,,,
100,100,ENPA and ENCV metrics reported by States,2020-12-17,02/28/2023,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5759.0,,,,,,,,,T3,,,
101,101,Factors Influencing the Results of COVID-19 Case Outreach-Results From a California Case Investigation/Contact Tracing Program.,2021-01-01,07/31/2021,Members of large CA health care plan,9391.0,6161.0,65.61,2264.0,3872.0,,,,6723.0,,,35.3,,,,,71.59,,,,,,,,6000.0,4188.0,,0.97,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000.0,,,,,36.7,,,,,600.0,,,,,Northwest,T3,,0.97,2.65
102,102,"Implementation of close contact elicitation at the time of COVID-19 testing-Atlanta, GA, October-November 2020.",2020-05-01,09/30/2020,Fulton County,26817.0,12068.0,45.0,1690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,South,T1,,,
103,103,"Implementation of close contact elicitation at the time of COVID-19 testing-Atlanta, GA, October-November 2020.",2020-10-11,11/14/2020,Fulton County,1238.0,,,597.0,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,South,T2,,,
104,104,"Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.",2020-08-17,12/31/2020,New York City communities with higher than average COVID-19 incidence rates,11683.0,8878.0,76.0,5499.0,,,,,,,,0.0,,72.0,,,,,,,522.0,4.54,5102.0,44.42,11486.0,7573.0,,,,,1.24,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,Northeast,T2,1.74,1.29,2.09
105,105,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,2020-04-04,05/19/2020,New Haven,1686.0,826.0,48.99,737.0,18.0,,,,959.0,,,,,,,108.0,56.88,,,,,,687.0,28.19,2437.0,,,,,,2.0,,718.0,,,,,,,,132.0,29.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,Northeast,T1,1.2,2.95,3.31
106,106,Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.,2020-06-01,12/31/2021,New York,1450000.0,1421053.0,98.0,540000.0,,,,24.0,,,,48.0,,,,,89.0,,,,,,,,,,,,,,,,,,,,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,2500.0,,,,,Northeast,T2,,,
107,107,NPR JHU colaborative survey,2021-05-01,06/01/2021,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,Alaska,T4,,,
108,108,NPR JHU colaborative survey,2021-05-01,06/01/2021,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,T4,,,
109,109,NPR JHU colaborative survey,2021-05-01,06/01/2021,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,T4,,,
110,110,NPR JHU colaborative survey,2021-05-01,06/01/2021,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7498.0,,,,Northwest,T4,,,
111,111,NPR JHU colaborative survey,2021-05-01,06/01/2021,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.0,,,,,T4,,,
112,112,NPR JHU colaborative survey,2021-05-01,06/01/2021,Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.0,,,,,T4,,,
113,113,NPR JHU colaborative survey,2021-05-01,06/01/2021,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.0,,,,,T4,,,
114,114,NPR JHU colaborative survey,2021-05-01,06/01/2021,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1370.0,,,,,T4,,,
115,115,NPR JHU colaborative survey,2021-05-01,06/01/2021,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,T4,,,
116,116,NPR JHU colaborative survey,2021-05-01,06/01/2021,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1558.0,,,,,T4,,,
117,117,NPR JHU colaborative survey,2021-05-01,06/01/2021,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.0,,,,,T4,,,
118,118,NPR JHU colaborative survey,2021-05-01,06/01/2021,Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,T4,,,
119,119,NPR JHU colaborative survey,2021-05-01,06/01/2021,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,,,,Northeast,T4,,,
120,120,NPR JHU colaborative survey,2021-05-01,06/01/2021,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,T4,,,
121,121,NPR JHU colaborative survey,2021-05-01,06/01/2021,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,Midwest,T4,,,
122,122,NPR JHU colaborative survey,2021-05-01,06/01/2021,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,,T4,,,
123,123,NPR JHU colaborative survey,2021-05-01,06/01/2021,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,T4,,,
124,124,NPR JHU colaborative survey,2021-05-01,06/01/2021,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,,,T4,,,
125,125,NPR JHU colaborative survey,2021-05-01,06/01/2021,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.0,,,,,T4,,,
126,126,NPR JHU colaborative survey,2021-05-01,06/01/2021,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,,,,,T4,,,
127,127,NPR JHU colaborative survey,2021-05-01,06/01/2021,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,,,,,T4,,,
128,128,NPR JHU colaborative survey,2021-05-01,06/01/2021,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2239.0,,,,Northeast,T4,,,
129,129,NPR JHU colaborative survey,2021-05-01,06/01/2021,North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.0,,,,,T4,,,
130,130,NPR JHU colaborative survey,2021-05-01,06/01/2021,Northern Mariana Islands (CNMI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,T4,,,
131,131,NPR JHU colaborative survey,2021-05-01,06/01/2021,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,,,,,T4,,,
